"ID","NAME"
"18691","Kasey Hauser"
"18692","Liev Stanton"
"18693","Jill Crow"
"18694","Roberta D'Onofrio"
"18695","Frances Imperioli"
"18696","Judi Pollak"
"18697","Harvey Dalton"
"18698","Sigourney Blair"
"18699","Morris Anderson"
"18700","Betty Weiland"
"18701","Jeff Beckinsale"
"18702","Jesse Colman"
"18703","Benjamin De Almeida"
"18704","Alfie Midler"
"18705","Wesley Starr"
"18706","Angelina Armatrading"
"18707","Lari Polito"
"18708","Joely Cocker"
"18709","Belinda Ruiz"
"18710","Victor Coleman"
"18711","Rob Bacon"
"18712","Ty Burton"
"18713","Allison Zellweger"
"18714","Keanu Clarkson"
"18715","Stockard Spears"
"18716","Harriet Rippy"
"18717","Miki Mandrell"
"18718","Dean Rollins"
"18719","Gilberto Webb"
"18720","Albertina Hoskins"
"18721","Vivica Borgnine"
"18722","Christine McGregor"
"18723","Wally Bassett"
"18724","Mary-Louise Sevigny"
"18725","Jill Craig"
"18726","Gin Spine"
"18727","Daniel Hewett"
"18728","Lucy Tankard"
"18729","Tori Shepherd"
"18730","Burt Morton"
"18731","Tobey Forster"
"18732","Ceili Stevens"
"18733","Annette Gershon"
"18734","Mint Flack"
"18735","Aaron Forrest"
"18736","Marie Orlando"
"18737","CeCe Hauer"
"18738","Meg Hoffman"
"18739","Dar Emmett"
"18740","Samantha Melvin"
"18741","Sheena Paxton"
"18742","Millie Ponty"
"18743","Stanley Finn"
"18744","Kevin Holiday"
"18745","Faye Llewelyn"
"18746","Catherine Numan"
"18747","Alfred Guzman"
"18748","Miles McConaughey"
"18749","Lili Cassel"
"18750","Stephen Boothe"
"18751","Wes Tambor"
"18752","Clay Wopat"
"18753","Candice Sheen"
"18754","Anne Fisher"
"18755","Raymond Worrell"
"18756","Isaiah Summer"
"18757","Julianna Woodward"
"18758","Suzi Kilmer"
"18759","Saul Orlando"
"18760","Rutger Carlisle"
"18761","Nastassja Stanton"
"18762","Rip Derringer"
"18763","Kiefer Pollak"
"18764","Phil Schreiber"
"18765","Boyd Channing"
"18766","Davy Ratzenberger"
"18767","Stephen Kramer"
"18768","Balthazar Capshaw"
"18769","Toshiro Haynes"
"18770","Pete Venora"
"18771","Guy Kennedy"
"18772","Cathy McCracken"
"18773","Heather Eat World"
"18774","Edwin Cornell"
"18775","Randy Nolte"
"18776","Moe LuPone"
"18777","Bernie Mahood"
"18778","Bridget Creek"
"18779","Toni Quatro"
"18780","Oro Arquette"
"18781","Gwyneth Almond"
"18782","Eric Dourif"
"18783","Tia Buffalo"
"18784","Miranda Street"
"18785","Albertina Bale"
"18786","Shirley Salt"
"18787","Rik Pitney"
"18788","Gladys Del Toro"
"18789","Judy Clark"
"18790","Emma Depp"
"18791","Todd Miles"
"18792","Coley Duchovny"
"18793","Rosanna Estevez"
"18794","Richie Costello"
"18795","Taylor Lerner"
"18796","Janeane Emmett"
"18797","Ann Skerritt"
"18798","Wally Unger"
"18799","Vonda Washington"
"18800","Hugo Cash"
"18801","Charlize O'Neill"
"18802","Fairuza Creek"
"18803","Angie Hawkins"
"18804","Suzi Torino"
"18805","Merrill Prowse"
"18806","Noah Gary"
"18807","Elisabeth Bryson"
"18808","Kevin Wayans"
"18809","Moe Palmer"
"18810","Hugh Peebles"
"18811","Debi Stallone"
"18812","Collin Curry"
"18813","Miguel Cox"
"18814","Jeffrey Gyllenhaal"
"18815","Kurt Hyde"
"18816","Milla Stampley"
"18817","Larenz Carlton"
"18818","Mos Everett"
"18819","Connie Valentin"
"18820","Cary Feuerstein"
"18821","Mac Leigh"
"18822","Luis Linney"
"18823","Halle Swinton"
"18824","Sarah Harary"
"18825","Regina Foxx"
"18826","Dabney Arkin"
"18827","Rob Duschel"
"18828","Suzi Arnold"
"18829","Maura Berenger"
"18830","Bobbi Madsen"
"18831","Phil Cocker"
"18832","Tal Brooks"
"18833","Ray Dench"
"18834","Jessica Baranski"
"18835","Karen Himmelman"
"18836","Tommy Neill"
"18837","Vickie LaMond"
"18838","David Condition"
"18839","Jennifer Utada"
"18840","Hector Gryner"
"18841","Mint Randal"
"18842","Dustin Ford"
"18843","Nora Vaughn"
"18844","Thin Ledger"
"18845","Eric Underwood"
"18846","Madeline Remar"
"18847","Jane Weir"
"18848","Lenny Whitmore"
"18849","Rowan Reed"
"18850","Raymond Dysart"
"18851","Gladys Neuwirth"
"18852","Natasha Robards"
"18853","Dianne Caan"
"18854","Charles Winstone"
"18855","Gilberto Harry"
"18856","Frankie Shatner"
"18857","Edgar Hunt"
"18858","Hector Logue"
"18859","Chubby Rizzo"
"18860","Claire Bacon"
"18861","Roy Pastore"
"18862","Toshiro McBride"
"18863","Viggo Short"
"18864","Brenda Osbourne"
"18865","Benicio Harry"
"18866","Martin McElhone"
"18867","Eileen Cassel"
"18868","Freddie Bracco"
